run_id,backend,architecture,model_key,display_name,status,steps_completed,first_step,last_step,last_seconds,last_tflops_per_device,last_tokens_per_device,last_total_weights,last_loss,last_lm_loss,last_perplexity,last_moe_lb_loss,min_loss,max_loss,steady_avg_seconds,steady_avg_tflops_per_device,steady_avg_tokens_per_device,total_parameters_reported,jax_version,jaxlib_version,jax_backend,num_devices,device_shape,total_memory_gb,output_memory_gb,temp_memory_gb,argument_memory_gb,host_temp_memory_gb,log_file,max_lm_loss,max_moe_lb_loss,max_perplexity,max_seconds,max_tflops_per_device,max_tokens_per_device,max_total_weights,min_lm_loss,min_moe_lb_loss,min_perplexity,min_seconds,min_tflops_per_device,min_tokens_per_device,min_total_weights,steady_avg_lm_loss,steady_avg_loss,steady_avg_moe_lb_loss,steady_avg_perplexity,steady_avg_total_weights
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,complete,50,0,49,7.464,0.015,4.287,32.0,0.0,0.0,1.0,,0.0,218.438,7.462300000000001,0.0154,4.2968,596000000,0.9.2,0.9.2,cpu,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7.2,3.3,3.8,3.3,0.0,/Users/tiger/Documents/code-practice/results/raw_logs/dense_qwen_0_6b_cpu.log,218.438,,inf,16.756,0.098,27.189,32.0,0.0,,1.0,1.177,0.007,1.91,32.0,0.0,0.0,,1.0,32.0
dense_qwen_0_6b_gpu,gpu,dense,qwen3_0_6b,Qwen3 0.6B base,complete,50,0,49,0.023,4.952,1380.56,32.0,0.0,0.0,1.0,,0.0,217.995,0.023,4.9317,1374.9038,596000000,0.9.2,0.9.2,PJRT C API,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5.0,3.3,1.7,3.3,0.0,/Users/tiger/Documents/code-practice/results/raw_logs/dense_qwen_0_6b_gpu.log,217.995,,inf,10.475,4.965,1384.263,32.0,0.0,,1.0,0.023,0.011,3.055,32.0,0.0,0.0,,1.0,32.0
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,complete,50,0,49,11.801,0.016,2.712,32.0,0.0,0.0,1.0,,0.0,246.511,11.6795,0.0162,2.7407,981000000,0.9.2,0.9.2,cpu,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",11.7,5.5,6.2,5.5,0.0,/Users/tiger/Documents/code-practice/results/raw_logs/dense_qwen_scaled_1b_cpu.log,246.511,,inf,16.129,0.16,27.047,32.0,0.0,,1.0,1.183,0.012,1.984,32.0,0.0,0.0,,1.0,32.0
dense_qwen_scaled_1b_gpu,gpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,complete,50,0,49,0.033,5.728,970.638,32.0,0.0,0.0,1.0,,0.0,245.763,0.033,5.7151000000000005,968.4777,981000000,0.9.2,0.9.2,PJRT C API,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",8.5,5.5,3.0,5.5,0.0,/Users/tiger/Documents/code-practice/results/raw_logs/dense_qwen_scaled_1b_gpu.log,245.763,,inf,10.681,5.746,973.769,32.0,0.0,,1.0,0.033,0.018,2.996,32.0,0.0,0.0,,1.0,32.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,complete,50,0,49,4.672,0.01,6.849,32.0,0.264,0.264,1.303,0.0,0.264,11.927,4.7101,0.0097,6.8038,478000000,0.9.2,0.9.2,cpu,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5.2,2.7,2.5,2.7,0.0,/Users/tiger/Documents/code-practice/results/raw_logs/moe_deepseek_under_1b_cpu.log,11.927,0.0,151333.078,10.465,0.055,39.714,32.0,0.264,0.0,1.303,0.806,0.004,3.058,32.0,0.2772,0.2772,0.0,1.3195000000000001,32.0
moe_deepseek_under_1b_gpu,gpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,complete,50,0,49,0.015,2.969,2137.466,32.0,0.262,0.262,1.299,0.0,0.262,11.936,0.0155,2.8736,2068.827,478000000,0.9.2,0.9.2,PJRT C API,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3.7,2.7,1.0,2.7,0.0,/Users/tiger/Documents/code-practice/results/raw_logs/moe_deepseek_under_1b_gpu.log,11.936,0.0,152641.203,17.793,4.389,3159.558,32.0,0.262,0.0,1.299,0.01,0.002,1.798,32.0,0.2746,0.2746,0.0,1.3159,32.0
