run_id,backend,architecture,model_key,display_name,step,seconds,tflops_per_device,tokens_per_device,total_weights,loss,lm_loss,perplexity,moe_lb_loss
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,35,7.638,0.015,4.189,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,36,7.24,0.016,4.42,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,37,7.589,0.015,4.217,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,38,7.115,0.016,4.497,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,39,7.162,0.016,4.468,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,40,7.721,0.015,4.145,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,41,6.998,0.016,4.573,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,42,7.342,0.016,4.359,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,43,7.345,0.016,4.357,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,44,7.371,0.016,4.341,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,45,7.057,0.016,4.534,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,46,7.58,0.015,4.222,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,47,7.488,0.015,4.274,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,48,8.257,0.014,3.876,32.0,0.0,0.0,1.0,
dense_qwen_0_6b_cpu,cpu,dense,qwen3_0_6b,Qwen3 0.6B base,49,7.464,0.015,4.287,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,0,6.588,0.029,4.857,32.0,246.511,246.511,inf,
